Company,Job,Salary,Location,Year
MOXIE IT SOLUTIONS,DATA ANALAYST,75715.0,"ASHBURN, VA",2020
MOXIE IT SOLUTIONS,DATA ANALAYST,96600.0,"ASHBURN, VA",2020
SIEMENS INDUSTRY INC,DATA ANALYSIS &amp; SIMULATION PROFESSIONAL,125969.0,"BUFFALO GROVE, IL",2020
CONSULTATIVE GROUP ON BIOLOGICAL DIVERSITY INC,DATA ANALYSIS AND MEMBER ENGAGEMENT SPECIALIST,53664.0,"SAN FRANCISCO, CA",2020
APTIV CORPORATION,DATA ANALYSIS AND SCRIPTING ENGINEER,81162.0,"TROY, MI",2020
APTIV CORPORATION,DATA ANALYSIS AND SCRIPTING ENGINEER,81162.0,"TROY, MI",2020
SIEMENS ENERGY INC,DATA ANALYSIS AND SIMULATION PROFESSIONAL,83528.0,"ORALANDO, FL",2020
SIEMENS MEDICAL SOLUTIONS USA INC,DATA ANALYSIS AND SIMULATION PROFESSIONAL,85000.0,"MALVERN, PA",2020
SIEMENS INDUSTRY INC,DATA ANALYSIS AND SIMULATION PROFESSIONAL,120000.0,"BUFFALO GROVE, IL",2020
MEGAPUTER INTELLIGENCE INC,DATA ANALYSIS CONSULTANT  STATISTICIAN,85000.0,"BLOOMINGTON, IN",2020
CAPITAL ONE NATIONAL ASSOCIATION,DATA ANALYSIS MANAGER,70096.0,"PLANO, TX",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,75171.0,"RICHMOND, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,79747.0,"ROLLING MEADOW, IL",2020
CAPITAL ONE NATIONAL ASSOCIATION,DATA ANALYSIS MANAGER,87298.0,"MCLEAN, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,87298.0,"MCLEAN, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,87298.0,"MCLEAN, VA",2020
CAPITAL ONE NATIONAL ASSOCIATION,DATA ANALYSIS MANAGER,87298.0,"MCLEAN, VA",2020
CAPITAL ONE SERVICES LLC,DATA ANALYSIS MANAGER,89898.0,"SAN FRANCISCO, CA",2020
QUALCOMM INCORPORATED,DATA ANALYSIS MANAGER,133600.0,"SANTA CLARA, CA",2020
NEFFECTS INC,DATA ANALYSIS SCIENTIST,74006.0,"CHESTERFIELD, MO",2020
NEFFECTS INC,DATA ANALYSIS SCIENTIST,78166.0,"CHESTERFIELD, MO",2020
MISSION BIO INC,DATA ANALYSIS SCIENTIST,95888.0,"SOUTH SAN FRANCISCO, CA",2020
SYNGENTA CROP PROTECTION LLC,DATA ANALYSIS SCIENTIST,100928.0,"RESEARCH TRIANGLE PARK, NC",2020
CARE,DATA ANALYSIS SPECIALIST,44180.0,"ATLANTA, GA",2020
BUILDING MARKETS LTD,DATA ANALYSIS STATISTICIAN,66000.0,"NEW YORK, NY",2020
LTS ASSOCIATE INC,DATA ANALYST,26700.0,"CARROLLTON, TX",2020
BAPTIST HEALTH,DATA ANALYST,38160.0,"LITTLE ROCK, AR",2020
DOTCOM TEAM LLC,DATA ANALYST,40000.0,"NASHVILLE, TN",2020
DOTCOM TEAM LLC,DATA ANALYST,40000.0,"SPRING, TX",2020
DOTCOM TEAM LLC,DATA ANALYST,40000.0,"NASHVILLE, TN",2020
