Company,Job,Salary,Location,Year
AMTEX SYSTEMS INC,FULL STACK .NET PROGRAMMER-ANALYST,97000.0,"LONG ISLAND CITY, NY",2018
XSEER INC,FULL STACK BACKEND ENGINEER,90000.0,"SANTA CLARA, CA",2018
PIONEER CONSULTING SERVICES LLC,FULL STACK CLOUD ENGINEER,80000.0,"JERSEY CITY, NJ",2018
SALESFORCECOM INC,FULL STACK DATA ENGINEER,107786.0,"PALO ALTO, CA",2018
SALESFORCECOM INC,FULL STACK DATA ENGINEER,110864.0,"PALO ALTO, CA",2018
NETFLIX INC,FULL STACK DATA SCIENTIST,172515.0,"LOS GATOS, CA",2018
CALLINIZE INC,FULL STACK DEMONSTRATION ENGINEER,90000.0,"AUSTIN, TX",2018
BLUE GREEN BRANDS LLC,"FULL STACK DEVELOPER, AGILE MARKETING TECHNOLOGIST",87859.0,"CAMBRIDGE, MA",2018
AUDIBLE MAGIC CORPORATION,FULL STACK DISTRIBUTED SYSTEMS ENGINEER,135000.0,"LOS GATOS, CA",2018
COLABERRY INC,FULL STACK ENGINEER,65220.0,"BOSTON, MA",2018
SUBDREAM STUDIOS INC,FULL STACK ENGINEER,82580.0,"LOS ALTOS, CA",2018
SUBDREAM STUDIOS INC,FULL STACK ENGINEER,83000.0,"LOS ALTOS, CA",2018
JOBSCAN CORPORATION,FULL STACK ENGINEER,89460.0,"SEATTLE, WA",2018
SUBDREAM STUDIOS INC,FULL STACK ENGINEER,105040.0,"LOS ALTOS, CA",2018
POPULUS GROUP LLC,FULL STACK ENGINEER,112000.0,"CHICAGO, IL",2018
TRUSIGNAL INC,FULL STACK ENGINEER,60715.0,"SAINT CLOUD, MN",2018
TRUSIGNAL INC,FULL STACK ENGINEER,71864.0,"SAINT CLOUD, MN",2018
ALTIMETRIK CORP,FULL STACK ENGINEER,78874.0,"TAYLOR, MI",2018
METAGENICS INC,FULL STACK ENGINEER,80000.0,"ALISO VIEJO, CA",2018
HEALTHEDGE SOFTWARE INC,FULL STACK ENGINEER,80000.0,"BURLINGTON, MA",2018
HORIZON SOFTECH INC,FULL STACK ENGINEER,82500.0,"ATLANTA, GA",2018
HEALTHEDGE SOFTWARE INC,FULL STACK ENGINEER,83000.0,"BURLINGTON, MA",2018
HEALTHEDGE SOFTWARE INC,FULL STACK ENGINEER,83000.0,"BURLINGTON, MA",2018
HEALTHEDGE SOFTWARE INC,FULL STACK ENGINEER,83000.0,"BURLINGTON, MA",2018
QUICKEN LOANS INC,FULL STACK ENGINEER,85000.0,"DETROIT, MI",2018
XTRACIT INC,FULL STACK ENGINEER,86000.0,"HENRICO, VA",2018
SYSINTELLI INC,FULL STACK ENGINEER,87000.0,"WILMINGTON, DE",2018
MOVENCORP INC,FULL STACK ENGINEER,87797.0,"RADNOR, PA",2018
FUZE INC,FULL STACK ENGINEER,87859.0,"BOSTON, MA",2018
W/H/I/P SYSTEMS LLC D/B/A AROGHIA GROUP LLC,FULL STACK ENGINEER,90000.0,"SMITHFIELD, RI",2018
W/H/I/P SYSTEMS LLC D/B/A AROGHIA GROUP LLC,FULL STACK ENGINEER,90000.0,"SMITHFIELD, RI",2018
XTRACIT INC,FULL STACK ENGINEER,92019.0,"MCLEAN, VA",2018
HOMESITE GROUP INC,FULL STACK ENGINEER,95000.0,"BOSTON, MA",2018
HOMESITE GROUP INC,FULL STACK ENGINEER,95000.0,"BOSTON, MA",2018
ALTIMETRIK CORP,FULL STACK ENGINEER,95805.0,"TAYLOR, MI",2018
ALLIED TELESIS INC,FULL STACK ENGINEER,96325.0,"SAN JOSE, CA",2018
HOMESITE GROUP INC,FULL STACK ENGINEER,98000.0,"BOSTON, MA",2018
FAIRBIT LLC,FULL STACK ENGINEER,98400.0,"NEWPORT BEACH, CA",2018
JOHN HANCOCK LIFE INSURANCE COMPANY (USA),FULL STACK ENGINEER,100000.0,"BOSTON, MA",2018
ALCATRAZ AI INC,FULL STACK ENGINEER,100000.0,"PALO ALTO, CA",2018
NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,FULL STACK ENGINEER,100000.0,"MILWAUKEE, WI",2018
NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,FULL STACK ENGINEER,100000.0,"MILWAUKEE, WI",2018
ENROLLEASE INC,FULL STACK ENGINEER,102669.0,"SAN FRANCISCO, CA",2018
THE HANOVER RESEARCH COUNCIL LLC,FULL STACK ENGINEER,103000.0,"ARLINGTON, VA",2018
ADOBE SYSTEMS INCORPORATED,FULL STACK ENGINEER,107341.0,"SAN JOSE, CA",2018
TUSIMPLE,FULL STACK ENGINEER,108000.0,"SAN DIEGO, CA",2018
TUSIMPLE,FULL STACK ENGINEER,108000.0,"SAN DIEGO, CA",2018
SPANNING CLOUD APPS LLC,FULL STACK ENGINEER,108000.0,"AUSTIN, TX",2018
APPDIRECT INC,FULL STACK ENGINEER,109000.0,"SAN FRANCISCO, CA",2018
ALCATRAZ AI INC,FULL STACK ENGINEER,110000.0,"PALO ALTO, CA",2018
LUMA HEALTH,FULL STACK ENGINEER,110000.0,"SAN FRANCISCO, CA",2018
SOFTPAK FINANCIAL SYSTEMS INC,FULL STACK ENGINEER,110000.0,"SMITHFIELD, MA",2018
XCALAR INC,FULL STACK ENGINEER,110864.0,"SAN JOSE, CA",2018
THREDUP INC,FULL STACK ENGINEER,115000.0,"SAN FRANCISCO, CA",2018
HOMESITE GROUP INC,FULL STACK ENGINEER,115000.0,"BOSTON, MA",2018
RAKUTEN USA INC,FULL STACK ENGINEER,115000.0,"SAN MATEO, CA",2018
JOHN HANCOCK LIFE INSURANCE COMPANY (USA),FULL STACK ENGINEER,117000.0,"BOSTON, MA",2018
EBAY INC,FULL STACK ENGINEER,117832.0,"SAN JOSE, CA",2018
TUSIMPLE,FULL STACK ENGINEER,120000.0,"SAN DIEGO, CA",2018
XOME REALTY SERVICES LLC,FULL STACK ENGINEER,120000.0,"LEWISVILLE, TX",2018
COLABERRY INC,FULL STACK ENGINEER,120000.0,"CREVE COEUR, MO",2018
THE UPSIDE TRAVEL COMPANY LLC,FULL STACK ENGINEER,120000.0,"WASHINGTON, DC",2018
TARGET LABS INCORPORATED,FULL STACK ENGINEER,120000.0,"JERSEY CITY, NJ",2018
JOHN HANCOCK LIFE INSURANCE COMPANY (USA),FULL STACK ENGINEER,121000.0,"WESTWOOD, MA",2018
MOTIF INVESTING INC,FULL STACK ENGINEER,121077.0,"SAN MATEO, CA",2018
GM CRUISE LLC,FULL STACK ENGINEER,122429.0,"SAN FRANCISCO, CA",2018
AUDIBLE MAGIC CORPORATION,FULL STACK ENGINEER,127500.0,"LOS GATOS, CA",2018
CLUTTER INC,FULL STACK ENGINEER,130000.0,"CULVER CITY, CA",2018
MIC NETWORK INC,FULL STACK ENGINEER,130000.0,"NEW YORK, NY",2018
CARBON BLACK INC,FULL STACK ENGINEER,133000.0,"HILLSBORO, OR",2018
INTERTRUST TECHNOLOGIES CORPORATION,FULL STACK ENGINEER,135000.0,"SUNNYVALE, CA",2018
