Company,Job,Salary,Location,Year
CORE CLOUD TECHNOLOGIES LLC,MACHINE LEARNING,90000.0,"AUSTIN, TX",2022
EIGEN HEALTH SERVICES LLC,MACHINE LEARNING  ARTIFICIAL INTELLIGENCE ENGINEER,85000.0,"GRASS VALLEY, CA",2022
VISUAL SEMANTICS,MACHINE LEARNING  ARTIFICIAL INTELLIGENCE ENGINEER,120000.0,"AUSTIN, TX",2022
MOTIONAL AD INC,MACHINE LEARNING  DEEP LEARNING ENGINEER,187000.0,"SANTA MONICA, CA",2022
OCTOML INC,MACHINE LEARNING &amp; SYSTEMS ENGINEER,175020.0,"SEATTLE, WA",2022
EBSCO PUBLISHING,MACHINE LEARNING AI ENGINEER,93600.0,"IPSWICH, MA",2022
EBSCO PUBLISHING,MACHINE LEARNING AI ENGINEER,105000.0,"IPSWICH, MA",2022
JUMIO CORPORATION,MACHINE LEARNING AI ENGINEER,120000.0,"PALO ALTO, CA",2022
ALIGNMENT RESEARCH CENTER,MACHINE LEARNING ALIGNMENT RESEARCHER,200000.0,"BERKELEY, CA",2022
ATTADALE PARTNERS LLC,MACHINE LEARNING ANALYST,110000.0,"SCHAUMBURG, IL",2022
FORD MOTOR COMPANY,MACHINE LEARNING AND ROBOTICS ENGINEER,88260.0,"STATE COLLEGE, PA",2022
OCTOML INC,MACHINE LEARNING AND SYSTEMS ENGINEER,150000.0,"SEATTLE, WA",2022
OCTOML INC,MACHINE LEARNING AND SYSTEMS ENGINEER,150000.0,"SEATTLE, WA",2022
OCTOML INC,MACHINE LEARNING AND SYSTEMS ENGINEER,162000.0,"SEATTLE, WA",2022
SERVICENOW INC,MACHINE LEARNING APPLIED RESEARCH SCIENTIST,124176.0,"MINNEAPOLIS, MN",2022
APPLE INC,MACHINE LEARNING APPLIED SCIENTIST,160650.0,"CUPERTINO, CA",2022
BRUNSWICK CORPORATION,MACHINE LEARNING ARCHITECT,107931.0,"CHICAGO, IL",2022
QUANTIPHI INC,MACHINE LEARNING ARCHITECT,145000.0,"PRINCETON, NJ",2022
WORKDAY INC,MACHINE LEARNING ARCHITECT,204300.0,"PLEASANTON, CA",2022
ELECTRA VEHICLES INC,MACHINE LEARNING BATTERY MODELING ENGINEER,115000.0,"HUNTSVILLE, AL",2022
MODULAR INC,MACHINE LEARNING COMPILER ENGINEER,170000.0,"MOUNTAIN VIEW, CA",2022
MODULAR INC,MACHINE LEARNING COMPILER ENGINEER,170000.0,"MOUNTAIN VIEW, CA",2022
MODULAR INC,MACHINE LEARNING COMPILER ENGINEER,180000.0,"SAN JOSE, CA",2022
GAPS AND BRIDGES INC,MACHINE LEARNING DATA ANALYST,95000.0,"IRVING, TX",2022
INABIA SOFTWARE &amp; CONSULTING INC,MACHINE LEARNING DATA ENGINEER,120000.0,"REDMOND, WA",2022
HYATT CORPORATION,MACHINE LEARNING DATA ENGINEER,80000.0,"CHICAGO, IL",2022
IMAGINAG TECH LLC,MACHINE LEARNING DATA ENGINEER,95000.0,"BEACHWOOD, OH",2022
GOAL STRUCTURED SOLUTIONS LLC,MACHINE LEARNING DATA ENGINEER,140000.0,"SAN DIEGO, CA",2022
CAASTLE,MACHINE LEARNING DATA SCIENTIST,150000.0,"MOUNTAIN VIEW, CA",2022
ADECCO GROUP NA/MODIS INC,MACHINE LEARNING ENGINEER,92740.0,"DEARBORN, MI",2022
MUNCASTER CONSULTING LLC,MACHINE LEARNING ENGINEER,130000.0,"GOLETA, CA",2022
ALGORIZIN INC,MACHINE LEARNING ENGINEER,138000.0,"NEW YORK, NY",2022
ADVANTIS GLOBAL INC,MACHINE LEARNING ENGINEER,140000.0,"REDWOOD CITY, CA",2022
APPLE INC,MACHINE LEARNING ENGINEER,152600.0,"CUPERTINO, CA",2022
MOBILE APPS ENTERPRISES LLC,MACHINE LEARNING ENGINEER,58240.0,"ATLANTA, GA",2022
ORABASE SOLUTIONS LLC,MACHINE LEARNING ENGINEER,60500.0,"MCKINNEY,, TX",2022
RADICAL VENTURES LLC,MACHINE LEARNING ENGINEER,69389.0,"DALLAS, TX",2022
RADICAL VENTURES LLC,MACHINE LEARNING ENGINEER,69389.0,"DALLAS, TX",2022
VISIONET SYSTEMS INC,MACHINE LEARNING ENGINEER,69826.0,"SLEEPY HOLLOW, NY",2022
GP TECHNOLOGIES LLC,MACHINE LEARNING ENGINEER,70000.0,"SKILLMAN, NJ",2022
AIRTONOMY INC,MACHINE LEARNING ENGINEER,71947.0,"GRAND FORKS, ND",2022
PIONEER CONSULTING SERVICES INC,MACHINE LEARNING ENGINEER,76856.0,"PHOENIX, AZ",2022
7-ELEVEN INC,MACHINE LEARNING ENGINEER,76898.0,"IRVING, TX",2022
7-ELEVEN INC,MACHINE LEARNING ENGINEER,76898.0,"IRVING, TX",2022
VISTA APPLIED SOLUTIONS GROUP INC,MACHINE LEARNING ENGINEER,78749.0,"BENTONVILLE, AR",2022
PACTERA TECHNOLOGIES NA INC,MACHINE LEARNING ENGINEER,80000.0,"STILLWATER, OK",2022
MEANING BOT INC,MACHINE LEARNING ENGINEER,80496.0,"GREENWICH, CT",2022
SIMPLEHUMAN LLC,MACHINE LEARNING ENGINEER,81390.0,"TORRANCE, CA",2022
DECIDE TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,81910.0,"PLANO, TX",2022
CYBER-DIVE CORP,MACHINE LEARNING ENGINEER,83000.0,"MESA, AZ",2022
SYNAPSIS INC,MACHINE LEARNING ENGINEER,84614.0,"PITTSBURGH, PA",2022
SYNAPSIS INC,MACHINE LEARNING ENGINEER,84614.0,"PITTSBURGH, PA",2022
ABBVIE INC,MACHINE LEARNING ENGINEER,85000.0,"NORTH CHICAGO, IL",2022
E2LOG INC,MACHINE LEARNING ENGINEER,85000.0,"SUGAR LAND, TX",2022
TRIMBLE INC,MACHINE LEARNING ENGINEER,86299.0,"STATE COLLEGE, PA",2022
V3TECH SOLUTIONS INC,MACHINE LEARNING ENGINEER,87000.0,"CHANDLER, AZ",2022
PULSE LABS AI INC,MACHINE LEARNING ENGINEER,87000.0,"SALT LAKE CITY, UT",2022
PULSE LABS AI INC,MACHINE LEARNING ENGINEER,87000.0,"SALT LAKE CITY, UT",2022
7-ELEVEN INC,MACHINE LEARNING ENGINEER,87451.0,"IRVING, TX",2022
COMCAST CABLE COMMUNICATIONS LLC,MACHINE LEARNING ENGINEER,87485.0,"BETHLEHEM, PA",2022
COHERE HEALTH INC,MACHINE LEARNING ENGINEER,88005.0,"SOMERVILLE, MA",2022
STOCKX LLC,MACHINE LEARNING ENGINEER,88816.0,"HILLSBORO, OR",2022
E SOURCE COMPANIES LLC,MACHINE LEARNING ENGINEER,89739.0,"HARRISON, NJ",2022
GEORGIA-PACIFIC LLC,MACHINE LEARNING ENGINEER,90000.0,"ATLANTA, GA",2022
UNIVERSAL ROBOTICS INC,MACHINE LEARNING ENGINEER,90000.0,"NASHVILLE, TN",2022
ASPIRING UNIVERSE CORPORATION,MACHINE LEARNING ENGINEER,90000.0,"CHAMPAIGN, IL",2022
RADICLE SCIENCE INC,MACHINE LEARNING ENGINEER,90000.0,"CALABASAS, CA",2022
ASPIRING UNIVERSE CORPORATION,MACHINE LEARNING ENGINEER,90000.0,"CHAMPAIGN, IL",2022
CALYPSO SOFT INC,MACHINE LEARNING ENGINEER,90397.0,"WESTCHESTER, IL",2022
ARCBEST TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,90875.0,"FORT SMITH, AR",2022
RAVIN IT SOLUTIONS INC,MACHINE LEARNING ENGINEER,94037.0,"INDIANAPOLIS, IN",2022
EXA DATA SOLUTIONS INC,MACHINE LEARNING ENGINEER,94037.0,"DENVER, CO",2022
DIVIS SOLUTIONS INC,MACHINE LEARNING ENGINEER,94411.0,"BLOOMINGTON, IL",2022
V3TECH SOLUTIONS INC,MACHINE LEARNING ENGINEER,94500.0,"CHANDLER, AZ",2022
SYNDIGO LLC,MACHINE LEARNING ENGINEER,95000.0,"NASHVILLE, TN",2022
TITAN ADVANCED ENERGY SOLUTIONS INC,MACHINE LEARNING ENGINEER,95000.0,"SALEM, MA",2022
GAPS AND BRIDGES INC,MACHINE LEARNING ENGINEER,95000.0,"IRVING, TX",2022
GAPS AND BRIDGES INC,MACHINE LEARNING ENGINEER,95000.0,"IRVING, TX",2022
IMAGINAG TECH LLC,MACHINE LEARNING ENGINEER,95000.0,"BEACHWOOD, OH",2022
IMAGINAG TECH LLC,MACHINE LEARNING ENGINEER,95000.0,"BEACHWOOD, OH",2022
INTELLISOFT TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,95000.0,"DALLAS, TX",2022
INTELLISOFT TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,95000.0,"DALLAS, TX",2022
IMAGINAG TECH LLC,MACHINE LEARNING ENGINEER,95000.0,"BEACHWOOD, OH",2022
IMAGINAG TECH LLC,MACHINE LEARNING ENGINEER,95000.0,"BEACHWOOD, OH",2022
IMAGINAG TECH LLC,MACHINE LEARNING ENGINEER,95000.0,"BEACHWOOD, OH",2022
THE US PHARMACOPEIAL CONVENTION,MACHINE LEARNING ENGINEER,95000.0,"ROCKVILLE, MD",2022
UNITY TECHNOLOGIES SF,MACHINE LEARNING ENGINEER,96970.0,"NEW YORK, NY",2022
ARMORBLOX INC,MACHINE LEARNING ENGINEER,97760.0,"SEATTLE, WA",2022
ARMORBLOX INC,MACHINE LEARNING ENGINEER,97760.0,"SEATTLE, WA",2022
ADOBE INC,MACHINE LEARNING ENGINEER,98134.0,"SAN JOSE, CA",2022
ADOBE INC,MACHINE LEARNING ENGINEER,98134.0,"SAN JOSE, CA",2022
ADOBE INC,MACHINE LEARNING ENGINEER,98550.0,"MCLEAN, VA",2022
VISTA APPLIED SOLUTIONS GROUP INC,MACHINE LEARNING ENGINEER,98904.0,"IRVING, TX",2022
INTEGRATION APPLIANCE INC,MACHINE LEARNING ENGINEER,98904.0,"LEWISVILLE, TX",2022
NEXIENT LLC,MACHINE LEARNING ENGINEER,99278.0,"ANN ARBOR, MI",2022
QUANTIPHI INC,MACHINE LEARNING ENGINEER,99950.0,"MARLBOROUGH, MA",2022
PATH ROBOTICS INC,MACHINE LEARNING ENGINEER,99986.0,"COLUMBUS, OH",2022
PARKLAND CENTER FOR CLINICAL INNOVATION,MACHINE LEARNING ENGINEER,100000.0,"DALLAS, TX",2022
SHINETECK INC,MACHINE LEARNING ENGINEER,100000.0,"BEAR, DE",2022
HUGGING FACE INC,MACHINE LEARNING ENGINEER,100000.0,"SAN FRANCISCO, CA",2022
ABN TECH CORPORATION,MACHINE LEARNING ENGINEER,100000.0,"IRVING, TX",2022
MICRON TECHNOLOGY INC,MACHINE LEARNING ENGINEER,100000.0,"BOISE, ID",2022
