Company,Job,Salary,Location,Year
QUALCOMM TECHNOLOGIES INC,GPU ASIC ENGINEER,100400.0,"VALLEJO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ASIC ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ASICS ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ASICS ENGINEER,126464.0,"SANTA CLARA, CA",2022
APPLE INC,GPU CLOCKING PD ENGINEER,180000.0,"AUSTIN, TX",2022
APPLE INC,GPU CLOCKING PHYSICAL DESIGN ENGINEER,190000.0,"WEST LAKE HILLS, TX",2022
APPLE INC,GPU DESIGN ENGINEER,190000.0,"CUPERTINO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,101192.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,124800.0,"VALLEJO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,124800.0,"SANTA CLARA, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,124800.0,"SUNNYVALE, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,124800.0,"MILPITAS, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,124800.0,"PLEASANTON, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU ENGINEER,126464.0,"SANTA CLARA, CA",2022
APPLE INC,GPU GRAPHICS POST SILICON TEST &amp; METHODOLOGY ENGINEER,175000.0,"AUSTIN, TX",2022
APPLE INC,GPU PERFORMANCE ANALYSIS ENGINEER,175000.0,"CUPERTINO, CA",2022
APPLE INC,GPU PERFORMANCE ANALYSIS ENGINEER,175000.0,"CUPERTINO, CA",2022
APPLE INC,GPU PHYSICAL DESIGN ENGINEER,135000.0,"WEST LAKE HILLS, TX",2022
APPLE INC,GPU POWER &amp; PERFORMANCE ENGINEER,215000.0,"CUPERTINO, CA",2022
APPLE INC,GPU POWER INTEGRITY ENGINEER,150000.0,"WEST LAKE HILLS, TX",2022
APPLE INC,GPU POWER INTEGRITY ENGINEER,165000.0,"SEATTLE, WA",2022
APPLE INC,GPU PPA PHYSICAL DESIGN ENGINEER,165000.0,"AUSTIN, TX",2022
APPLE INC,GPU RTL DESIGN ENGINEER,145000.0,"AUSTIN, TX",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,99944.0,"BOXBOROUGH, MA",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,99944.0,"BOXBOROUGH, MA",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,101109.0,"SAN DIEGO, CA",2022
QUALCOMM INNOVATION CENTER INC,GPU SOFTWARE ENGINEER,111322.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,111322.0,"SAN DIEGO, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,119435.0,"SAN JOSE, CA",2022
QUALCOMM TECHNOLOGIES INC,GPU SOFTWARE ENGINEER,119435.0,"SANTA CLARA, CA",2022
APPLE INC,GPU STATIC TIMING ANALYSIS ENGINEER,135000.0,"WEST LAKE HILLS, TX",2022
APPLE INC,GPU STATIC TIMING ANALYSIS ENGINEER,165000.0,"AUSTIN, TX",2022
LUNARG INC,GRAPHICS SOFTWARE ENGINEER,72155.0,"FORT COLLINS, CO",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,76066.0,"MEMPHIS, TN",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,93018.0,"HILLSBORO, OR",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,93018.0,"HILLSBORO, OR",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,93018.0,"HILLSBORO, OR",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,93018.0,"HILLSBORO, OR",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,98842.0,"HILLSBORO, OR",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,98842.0,"HILLSBORO, OR",2022
QUALCOMM TECHNOLOGIES INC,GRAPHICS SOFTWARE ENGINEER,99994.0,"BOXBOROUGH, MA",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,100339.0,"FOLSOM, CA",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,100339.0,"FOLSOM, CA",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,100339.0,"FOLSOM, CA",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,100339.0,"FOLSOM, CA",2022
INTEL CORPORATION,GRAPHICS SOFTWARE ENGINEER,100339.0,"FOLSOM, CA",2022
